City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,The Valley,AI,77.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
553,Canberra,AU,79.0,clear sky,-35.2835,149.1281,Novotel Canberra
557,Barahona,DO,76.1,clear sky,18.2085,-71.1008,Hotel Caribe
559,Bacolod,PH,82.13,clear sky,10.6667,122.95,Planta Hotel & Residences
561,Caucaia,BR,82.4,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
563,Cabuyaro,CO,87.66,overcast clouds,4.2817,-72.794,Hotel Sofia Real Cabuyaro Meta
564,Gambela,ET,78.78,clear sky,8.25,34.5833,Solomon Debebe Hotel
565,Manzanillo,CU,75.76,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
577,Moranbah,AU,84.4,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
590,Eirunepe,BR,75.2,overcast clouds,-6.6603,-69.8736,Atrás de você
594,Ambovombe,MG,75.65,broken clouds,-25.1667,46.0833,RELAHARA
597,San Pedro,PH,75.2,overcast clouds,14.35,121.0167,OYO 412 Viewfort Venue
598,Quelimane,MZ,75.11,broken clouds,-17.8786,36.8883,Hotel Flamingo
603,Harper,LR,79.2,clear sky,4.375,-7.7169,Screensaver
608,Kupang,ID,80.6,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
611,Kimbe,PG,84.24,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
616,Victoria Point,AU,84.0,overcast clouds,-27.5833,153.3,Bay Retreat Motel
620,Morondava,MG,77.25,overcast clouds,-20.2833,44.2833,La Case Bambou
624,Fare,PF,81.95,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
627,Conakry,GN,78.8,haze,9.538,-13.6773,Riviera Royal Hotel
629,La Asuncion,VE,75.97,clear sky,11.0333,-63.8628,Colinas de Matasiete
630,Kudahuvadhoo,MV,81.88,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
632,Palauig,PH,78.76,broken clouds,15.435,119.9045,Myhousebythesea
635,Padang,ID,75.2,few clouds,-0.9492,100.3543,Mercure Padang
636,Cotonou,BJ,84.2,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
